offender_url,other_url,APPROVED_VERSION_CREATED_AT,num_copied_media,num_copied_fonts,num_copied_words,agree?
https://www.canva.com/admin/template/EAFcAUFMhzY,https://www.canva.com/admin/template/EAFaDjc4TVs,2023-03-08 03:50:22,9,2,2,
https://www.canva.com/admin/template/EAFcAEVENnI,https://www.canva.com/admin/template/EAFaDq8DDQY,2023-03-08 01:17:05,5,2,6,
https://www.canva.com/admin/template/EAFcAEM7ktw,https://www.canva.com/admin/template/EAFaDkSjipU,2023-03-08 01:15:30,6,2,5,
https://www.canva.com/admin/template/EAFcARavXAU,https://www.canva.com/admin/template/EAFaDnhv_DE,2023-03-08 03:45:04,10,2,1,
https://www.canva.com/admin/template/EAFcAUFMhzY,https://www.canva.com/admin/template/EAFaDjc4TVs,2023-03-08 03:50:22,9,2,2,
https://www.canva.com/admin/template/EAFcARLykCo,https://www.canva.com/admin/template/EAFaDsijgIE,2023-03-08 03:45:58,10,2,1,
https://www.canva.com/admin/template/EAFcAacCx-Y,https://www.canva.com/admin/template/EAFaDrKNueU,2023-03-08 03:50:46,9,2,2,
https://www.canva.com/admin/template/EAFclYejn08,https://www.canva.com/admin/template/EAE57okWgug,2023-03-08 05:48:11,3,4,6,
https://www.canva.com/admin/template/EAFcARavXAU,https://www.canva.com/admin/template/EAFaDnhv_DE,2023-03-08 03:45:04,10,2,1,
https://www.canva.com/admin/template/EAFcApE6q5Q,https://www.canva.com/admin/template/EAFaDi1Icxw,2023-03-08 03:42:28,6,2,4,
https://www.canva.com/admin/template/EAFcAtGLEZE,https://www.canva.com/admin/template/EAFaDnp8zT8,2023-03-08 03:43:32,9,2,1,
https://www.canva.com/admin/template/EAFcAVEWmPQ,https://www.canva.com/admin/template/EAFaDsrjehU,2023-03-08 03:45:41,9,2,1,
https://www.canva.com/admin/template/EAFcALhjIj4,https://www.canva.com/admin/template/EAFaDnDZiL0,2023-03-08 02:13:33,5,2,5,
https://www.canva.com/admin/template/EAFcAKM974Y,https://www.canva.com/admin/template/EAFaDp0pSfI,2023-03-08 02:14:57,6,2,4,
https://www.canva.com/admin/template/EAFcAKKVAt4,https://www.canva.com/admin/template/EAFaDsas1fw,2023-03-08 02:14:03,5,2,5,
https://www.canva.com/admin/template/EAFdEethri0,https://www.canva.com/admin/template/EAE5eHBMg1Q,2023-03-13 09:47:25,3,2,7,
https://www.canva.com/admin/template/EAFb_-dyFew,https://www.canva.com/admin/template/EAFaDvBnvns,2023-03-08 00:04:26,5,2,5,
https://www.canva.com/admin/template/EAFcAq_84m4,https://www.canva.com/admin/template/EAFaDuIU6ao,2023-03-08 02:16:29,9,2,1,
